Task,Priority,Tags,Created Date,Due Date,Alarm
Visit doctor,Low,Work,2023-08-28,2023-11-21,False
Read book,Medium,Work,2024-01-12,2024-05-16,False
Take groceries,Low,Work,2023-01-15,2023-05-10,True
Take groceries,Low,Personal,2024-04-27,2024-08-14,False
Send emails,High,Personal,2024-06-03,2024-12-04,True
Plan weekend trip,Low,Work,2023-01-21,2023-09-07,True
Read book,High,Work,2023-05-06,2024-02-29,True
Call plumber,High,Personal,2024-02-12,2024-10-17,False
Prepare presentation,Medium,Work,2023-08-02,2024-11-19,False
Book flight tickets,Low,Work,2023-02-22,2024-01-18,True
Schedule car service,High,Work,2024-01-13,2024-03-15,True
Book flight tickets,High,Work,2023-11-17,2024-09-28,False
Read book,Low,Personal,2023-05-25,2024-06-19,False
Read book,High,Work,2024-05-14,2024-12-14,True
Renew library membership,High,Work,2023-12-07,2023-12-24,False
Buy birthday gift,Medium,Personal,2023-07-24,2024-07-13,False
Plan weekend trip,Medium,Personal,2023-02-27,2023-11-23,True
Take groceries,High,Work,2023-11-30,2024-03-06,False
Write report,Medium,Work,2023-02-10,2023-08-13,True
Organize desk,Low,Personal,2024-05-31,2024-09-11,True
Take stationary,Medium,Work,2024-04-09,2024-07-07,True
Prepare presentation,High,Work,2024-02-26,2024-04-05,False
Take groceries,Medium,Personal,2024-02-07,2024-12-08,False
Schedule car service,Low,Work,2024-11-18,2024-12-10,False
Work on project,Low,Personal,2023-04-30,2024-08-30,True
Write report,High,Personal,2023-06-02,2023-08-11,False
Take groceries,High,Personal,2024-05-12,2024-12-07,True
Call plumber,Medium,Personal,2023-11-07,2024-08-19,False
Buy birthday gift,Medium,Work,2023-01-22,2023-10-17,True
Join gym session,Low,Personal,2023-01-13,2023-08-03,False
Organize desk,Medium,Personal,2024-03-13,2024-07-05,True
Renew library membership,Medium,Personal,2024-08-28,2024-12-01,False
Take stationary,Medium,Work,2023-05-30,2024-02-08,True
Go to school,Medium,Personal,2023-01-08,2023-08-20,False
Schedule car service,Low,Personal,2024-03-17,2024-08-23,False
Visit doctor,Medium,Work,2023-12-09,2024-10-18,True
Complete meeting,Medium,Personal,2024-05-07,2024-09-06,True
Call plumber,High,Personal,2023-09-05,2024-05-09,False
Write report,High,Work,2023-10-08,2024-02-29,False
Visit doctor,High,Personal,2023-07-14,2024-10-10,False
Complete meeting,High,Work,2024-02-15,2024-03-03,False
Organize desk,Medium,Personal,2023-05-22,2024-12-16,False
Join gym session,Low,Personal,2023-12-30,2024-04-12,False
Call plumber,Low,Work,2024-03-22,2024-08-04,False
Take groceries,Low,Personal,2024-02-13,2024-09-24,False
Write report,Low,Work,2023-05-07,2024-05-25,False
Take stationary,Low,Work,2023-04-19,2024-09-17,True
Go to school,Low,Personal,2023-07-20,2024-08-12,True
Join gym session,Medium,Work,2023-05-16,2023-11-18,True
Prepare presentation,High,Personal,2024-02-06,2024-09-06,True
Read book,Medium,Work,2023-07-29,2024-10-23,True
Go to bank,High,Personal,2024-08-08,2024-10-05,True
Write report,Medium,Personal,2023-02-18,2024-07-12,True
Prepare presentation,Low,Personal,2023-03-04,2023-12-25,False
Visit doctor,Medium,Personal,2023-09-23,2024-03-05,False
Organize desk,Medium,Work,2024-06-09,2024-08-02,False
Prepare presentation,Medium,Work,2024-06-18,2024-10-29,False
Go to bank,Low,Personal,2023-05-31,2024-06-24,True
Take stationary,Medium,Personal,2023-03-15,2023-10-16,True
Send emails,Low,Personal,2023-06-03,2024-01-12,False
Write report,Medium,Work,2023-05-31,2024-05-15,True
Schedule car service,Medium,Work,2024-08-27,2024-12-17,True
Plan weekend trip,Low,Personal,2024-08-23,2024-08-31,True
Buy birthday gift,Low,Work,2023-05-22,2023-07-25,True
Organize desk,Low,Work,2023-01-09,2023-03-27,True
Call plumber,High,Work,2023-07-30,2023-08-09,False
Schedule car service,High,Work,2024-12-05,2024-12-21,False
Take groceries,Low,Personal,2023-04-18,2023-06-21,True
Complete meeting,Medium,Work,2023-10-10,2024-04-23,True
Write report,High,Work,2023-01-18,2024-07-20,False
Prepare presentation,Medium,Work,2024-01-06,2024-11-02,True
Renew library membership,Low,Work,2024-08-02,2024-11-10,True
Go to school,Medium,Work,2023-07-20,2024-09-18,False
Schedule car service,High,Personal,2023-02-10,2023-07-01,True
Schedule car service,Low,Personal,2024-03-03,2024-05-06,False
Attend seminar,Medium,Work,2023-06-26,2023-09-23,True
Go to school,Medium,Personal,2023-01-15,2023-03-11,False
Work on project,High,Personal,2023-11-21,2023-11-24,True
Call plumber,High,Work,2023-09-15,2024-05-18,False
Renew library membership,Low,Personal,2023-02-09,2024-06-21,False
Call plumber,Low,Personal,2023-09-13,2024-01-16,False
Buy birthday gift,Low,Personal,2023-01-11,2024-05-12,False
Join gym session,Medium,Personal,2023-05-12,2023-05-14,False
Book flight tickets,High,Work,2023-09-10,2023-12-04,False
Complete meeting,Medium,Personal,2023-02-22,2023-10-19,True
Buy birthday gift,Low,Work,2023-09-12,2024-09-07,False
Renew library membership,Medium,Personal,2023-10-31,2024-10-20,False
Go to school,Low,Work,2023-06-01,2023-10-18,False
Renew library membership,Medium,Work,2023-08-06,2024-02-12,True
Prepare presentation,Low,Personal,2023-05-20,2023-11-16,True
Book flight tickets,Low,Work,2023-02-08,2024-12-20,True
Attend seminar,High,Personal,2024-07-25,2024-11-01,True
Organize desk,Medium,Personal,2024-02-04,2024-06-28,True
Attend seminar,Low,Personal,2023-01-29,2024-12-30,False
Go to school,Medium,Personal,2024-12-16,2024-12-25,False
Organize desk,High,Personal,2023-12-02,2024-07-20,True
Work on project,Low,Personal,2024-02-15,2024-11-30,True
Attend seminar,Medium,Personal,2023-10-19,2023-11-30,False
Plan weekend trip,Medium,Work,2023-11-03,2024-11-27,False
Complete meeting,Medium,Personal,2023-01-03,2024-02-19,False
Go to bank,High,Work,2023-02-18,2024-06-27,True
Take groceries,Medium,Personal,2023-10-04,2023-10-12,True
Prepare presentation,Low,Personal,2023-12-26,2024-06-16,True
Schedule car service,Low,Personal,2023-08-13,2024-12-23,False
Complete meeting,High,Work,2023-03-03,2024-09-23,False
Organize desk,Low,Work,2024-01-06,2024-11-04,True
Take groceries,Low,Work,2023-04-01,2023-11-10,True
Plan weekend trip,Medium,Personal,2023-05-23,2024-03-14,False
Go to school,Medium,Personal,2023-05-20,2024-03-24,False
Send emails,Medium,Personal,2023-07-20,2023-11-26,True
Call plumber,High,Work,2023-06-16,2024-04-24,True
Send emails,Low,Work,2023-03-22,2024-12-22,False
Plan weekend trip,Low,Work,2023-04-24,2024-02-07,True
Complete meeting,Low,Work,2023-12-07,2024-08-08,False
Send emails,High,Work,2023-05-17,2023-08-30,False
Go to bank,Low,Personal,2023-12-08,2024-07-30,True
Organize desk,Low,Work,2024-02-23,2024-10-19,False
Complete meeting,High,Work,2023-02-17,2024-09-30,False
Write report,Medium,Personal,2023-07-04,2024-03-04,True
Send emails,High,Work,2023-02-10,2023-06-12,True
Go to bank,Low,Personal,2023-07-01,2024-02-18,True
Buy birthday gift,High,Work,2023-01-04,2024-03-20,True
Go to school,High,Personal,2023-04-21,2024-08-26,False
Write report,Medium,Personal,2023-10-30,2024-09-17,False
Send emails,Medium,Work,2023-12-29,2024-05-27,True
Take stationary,Medium,Personal,2023-01-06,2023-10-24,True
Visit doctor,Low,Work,2023-03-09,2024-09-16,False
Call plumber,Low,Work,2023-09-13,2024-12-15,False
Call plumber,Medium,Work,2024-03-28,2024-08-11,True
Take groceries,Low,Personal,2023-07-26,2024-10-21,True
Plan weekend trip,High,Work,2023-03-19,2024-09-28,False
Visit doctor,Medium,Work,2023-02-27,2023-11-27,False
Join gym session,Low,Personal,2023-09-25,2024-07-19,True
Prepare presentation,Low,Work,2023-12-27,2024-08-27,False
Complete meeting,Low,Personal,2024-09-17,2024-10-26,True
Plan weekend trip,Medium,Personal,2023-09-25,2024-04-05,True
Prepare presentation,Low,Personal,2023-04-06,2024-11-12,False
Take stationary,High,Personal,2023-02-18,2023-03-10,True
Book flight tickets,High,Personal,2023-08-11,2024-06-27,True
Go to bank,Low,Work,2024-10-12,2024-11-24,True
Join gym session,Medium,Work,2023-11-06,2024-01-06,True
Read book,Low,Personal,2023-08-08,2023-08-08,False
Organize desk,Low,Work,2023-02-17,2023-05-31,False
Go to school,Low,Personal,2023-01-29,2024-07-23,True
Write report,High,Personal,2023-06-16,2023-08-05,True
Go to bank,Medium,Work,2023-05-25,2023-07-29,False
Buy birthday gift,High,Work,2023-06-24,2024-01-12,True
Plan weekend trip,Low,Personal,2023-01-18,2024-09-17,True
Go to bank,Medium,Personal,2024-04-26,2024-10-20,True
Join gym session,High,Work,2023-06-05,2023-06-14,False
Take stationary,Low,Work,2023-01-08,2023-10-11,True
Renew library membership,High,Personal,2023-11-08,2024-07-18,False
Schedule car service,Medium,Work,2023-06-16,2023-12-03,False
Take stationary,Low,Personal,2023-08-25,2024-06-09,False
Buy birthday gift,Low,Work,2024-02-13,2024-12-21,False
Send emails,High,Personal,2023-07-23,2024-05-08,False
Write report,Low,Work,2023-08-14,2024-04-26,True
Visit doctor,Medium,Personal,2023-02-23,2024-01-02,False
Join gym session,Low,Personal,2023-11-20,2024-04-23,False
Take stationary,Medium,Personal,2023-05-30,2024-05-28,False
Schedule car service,Low,Work,2024-05-12,2024-10-17,False
Book flight tickets,Medium,Personal,2024-02-23,2024-10-12,True
Write report,High,Work,2023-08-05,2024-03-30,True
Visit doctor,Low,Personal,2024-08-15,2024-09-15,True
Organize desk,High,Work,2023-11-16,2024-08-25,True
Take stationary,High,Personal,2023-05-20,2024-05-10,False
Plan weekend trip,Medium,Work,2023-05-28,2023-11-25,True
Go to bank,Low,Work,2023-01-10,2023-07-22,True
Take groceries,Low,Personal,2023-06-12,2024-04-18,True
Plan weekend trip,Medium,Work,2023-04-08,2023-05-28,False
Write report,Low,Personal,2024-04-12,2024-04-18,True
Read book,Medium,Personal,2023-01-15,2024-01-20,False
Renew library membership,High,Work,2023-02-04,2024-03-01,True
Organize desk,Low,Work,2023-08-04,2023-08-24,True
Visit doctor,Low,Work,2023-02-22,2024-03-15,True
Read book,Medium,Work,2024-06-19,2024-10-10,True
Go to school,Low,Personal,2023-02-08,2023-03-06,True
Go to school,High,Work,2023-04-13,2023-04-25,False
Schedule car service,High,Personal,2023-07-29,2023-09-01,False
Take stationary,Low,Personal,2023-07-04,2024-09-16,True
Buy birthday gift,Medium,Work,2023-07-11,2024-01-13,True
Go to school,High,Work,2023-05-14,2023-09-03,True
Write report,High,Work,2023-10-07,2024-11-17,True
Write report,Medium,Work,2023-03-03,2023-10-16,True
Book flight tickets,High,Work,2023-10-30,2023-11-17,False
Renew library membership,High,Work,2023-12-21,2024-04-19,False
Complete meeting,Medium,Work,2023-10-14,2024-05-30,False
Renew library membership,Medium,Work,2023-01-30,2024-08-30,True
Go to bank,Medium,Personal,2023-03-07,2023-10-23,True
Write report,High,Personal,2023-03-25,2024-08-20,False
Attend seminar,High,Work,2024-02-12,2024-05-31,True
Go to bank,Medium,Personal,2023-07-14,2023-10-03,True
Take stationary,High,Work,2024-05-22,2024-11-13,False
Take groceries,Low,Work,2023-09-30,2023-12-22,True
Go to bank,High,Work,2023-06-05,2024-08-05,False
Schedule car service,Low,Personal,2023-12-25,2024-05-22,False
Renew library membership,Medium,Work,2023-05-14,2023-12-21,False
Complete meeting,Low,Personal,2024-10-05,2024-10-22,False
Call plumber,Low,Personal,2024-09-11,2024-12-06,True
Prepare presentation,Low,Work,2023-12-15,2024-08-04,True
Renew library membership,High,Work,2024-02-18,2024-11-28,False
Call plumber,Medium,Personal,2023-04-03,2024-07-20,True
Organize desk,Low,Work,2023-06-06,2024-07-18,True
Attend seminar,Medium,Work,2024-01-05,2024-05-21,True
Write report,Medium,Work,2024-06-03,2024-12-13,True
Buy birthday gift,Low,Personal,2023-08-23,2023-10-24,True
Organize desk,Low,Personal,2023-07-02,2024-02-24,True
Take groceries,High,Personal,2023-05-03,2023-08-22,False
Take stationary,Medium,Work,2023-06-05,2024-10-11,True
Organize desk,Medium,Personal,2024-08-15,2024-09-04,False
Plan weekend trip,Low,Work,2023-05-30,2024-06-29,False
Attend seminar,Low,Personal,2023-03-16,2023-09-10,False
Take groceries,High,Personal,2024-08-09,2024-08-11,False
Visit doctor,Low,Personal,2024-05-08,2024-08-30,True
Take groceries,Low,Work,2023-07-08,2024-09-18,True
Organize desk,Medium,Work,2023-03-12,2023-08-29,False
Organize desk,Medium,Work,2023-12-25,2024-05-12,True
Go to school,Medium,Personal,2024-06-05,2024-10-23,True
Take stationary,Medium,Work,2024-03-06,2024-11-17,True
Take groceries,Low,Work,2023-04-27,2023-09-04,True
Buy birthday gift,Medium,Work,2024-07-26,2024-08-28,True
Visit doctor,Low,Personal,2023-07-19,2023-11-16,True
Work on project,Medium,Work,2024-04-10,2024-11-27,True
Send emails,High,Work,2023-01-16,2023-11-06,True
Take groceries,High,Work,2024-04-19,2024-10-02,False
Organize desk,High,Personal,2023-02-24,2024-03-03,True
Schedule car service,High,Work,2023-02-19,2024-08-27,False
Book flight tickets,Low,Work,2023-10-31,2023-11-03,True
Buy birthday gift,Medium,Personal,2023-10-17,2024-04-25,False
Buy birthday gift,Low,Personal,2023-12-31,2024-07-24,False
Organize desk,Medium,Work,2024-07-16,2024-09-09,True
Renew library membership,Low,Work,2023-12-29,2024-09-24,True
Plan weekend trip,High,Personal,2023-07-31,2023-09-06,False
Go to bank,High,Personal,2024-02-22,2024-04-02,False
Write report,High,Personal,2023-02-16,2024-12-25,False
Schedule car service,Low,Work,2023-09-29,2024-01-20,False
Write report,Low,Personal,2023-12-30,2024-02-10,False
Take groceries,Low,Personal,2024-01-21,2024-07-18,False
Prepare presentation,Low,Personal,2023-06-01,2024-04-20,True
Buy birthday gift,Low,Work,2023-02-17,2024-03-31,False
Visit doctor,High,Personal,2023-03-18,2023-11-20,True
Prepare presentation,Medium,Work,2023-05-10,2024-09-03,False
Organize desk,Medium,Personal,2023-09-19,2024-03-03,True
Join gym session,Low,Personal,2023-10-03,2024-04-05,False
Schedule car service,Low,Personal,2023-09-26,2024-02-28,True
Attend seminar,Low,Personal,2023-04-08,2023-10-06,True
Send emails,High,Personal,2023-03-04,2024-10-11,False
Schedule car service,Medium,Personal,2023-04-15,2024-07-07,True
Renew library membership,Medium,Work,2023-05-10,2023-08-12,False
Join gym session,Low,Work,2023-04-11,2024-09-30,True
Prepare presentation,Low,Personal,2023-05-22,2024-03-12,False
Book flight tickets,Low,Personal,2023-11-11,2024-03-05,False
Call plumber,Low,Work,2023-05-11,2024-12-02,False
Buy birthday gift,Medium,Work,2024-01-18,2024-05-29,True
Visit doctor,High,Personal,2024-11-07,2024-12-03,True
Visit doctor,Medium,Personal,2023-06-21,2024-05-19,False
Take groceries,Low,Personal,2023-02-02,2023-12-19,True
Book flight tickets,Medium,Personal,2024-09-22,2024-11-27,False
Prepare presentation,Low,Personal,2023-05-12,2023-06-12,True
Join gym session,High,Work,2023-08-07,2024-07-30,True
Work on project,Medium,Personal,2023-12-05,2024-12-16,False
Visit doctor,Medium,Work,2024-01-02,2024-02-24,False
Write report,High,Work,2023-02-14,2024-04-18,True
Buy birthday gift,Low,Work,2023-08-21,2024-03-16,False
Work on project,High,Personal,2023-02-24,2024-03-14,False
Go to bank,High,Work,2024-07-16,2024-10-18,True
Complete meeting,Medium,Personal,2023-07-02,2024-06-28,True
Renew library membership,High,Work,2024-05-27,2024-07-16,False
Complete meeting,Low,Work,2024-04-25,2024-09-22,False
Prepare presentation,Medium,Work,2023-07-24,2024-03-02,True
Take groceries,High,Personal,2023-01-17,2023-01-17,True
Prepare presentation,Medium,Work,2023-03-06,2024-11-03,True
Go to school,Medium,Work,2023-10-22,2024-06-07,True
Write report,High,Work,2023-10-20,2024-03-30,True
Organize desk,Low,Personal,2023-04-08,2023-07-11,False
Visit doctor,Low,Work,2023-04-03,2023-12-14,False
Call plumber,High,Work,2024-07-10,2024-10-24,False
Prepare presentation,High,Personal,2023-10-14,2024-10-09,False
Send emails,High,Personal,2024-03-10,2024-03-14,False
Go to bank,High,Personal,2023-04-22,2024-11-17,True
Take stationary,High,Personal,2023-05-14,2024-01-16,False
Go to school,Medium,Personal,2023-01-28,2024-07-24,False
Complete meeting,High,Personal,2023-11-01,2024-11-23,False
Work on project,Medium,Work,2023-09-06,2024-03-29,True
Send emails,High,Work,2023-05-29,2024-09-30,False
Attend seminar,Medium,Personal,2023-05-01,2024-09-18,True
Take stationary,Medium,Personal,2023-10-20,2023-11-10,False
Call plumber,High,Work,2023-04-30,2024-06-04,True
Organize desk,Low,Personal,2023-06-24,2024-11-25,True
Book flight tickets,Medium,Personal,2023-04-11,2023-09-23,False
Visit doctor,High,Work,2023-01-12,2024-05-10,False
Take stationary,Medium,Work,2023-05-26,2024-02-02,True
Send emails,Low,Personal,2023-11-24,2024-01-13,True
Go to bank,Low,Personal,2023-11-24,2024-08-15,False
Take stationary,High,Work,2023-10-02,2024-09-18,False
Call plumber,High,Work,2024-04-28,2024-06-26,False
Prepare presentation,Low,Personal,2024-08-02,2024-08-26,False
Go to school,High,Work,2024-02-17,2024-05-30,True
Send emails,High,Personal,2024-01-04,2024-09-09,False
Send emails,Low,Work,2023-12-15,2024-02-28,False
Organize desk,Low,Personal,2024-04-08,2024-05-16,False
Renew library membership,Medium,Work,2024-04-16,2024-09-11,False
Go to school,Medium,Work,2023-03-28,2024-05-19,False
Take stationary,High,Personal,2023-02-21,2023-05-15,True
Complete meeting,Medium,Work,2023-04-17,2023-07-23,False
Visit doctor,High,Work,2023-03-12,2024-05-11,False
Work on project,High,Work,2023-07-06,2024-10-22,True
Complete meeting,High,Work,2023-10-09,2023-10-23,True
Visit doctor,Low,Personal,2023-05-05,2023-11-05,False
Schedule car service,Low,Work,2023-03-29,2024-11-22,True
Complete meeting,Low,Personal,2023-01-20,2024-02-27,True
Plan weekend trip,Medium,Personal,2023-11-30,2024-07-07,False
Plan weekend trip,High,Work,2023-05-02,2024-07-20,False
Book flight tickets,High,Work,2024-01-19,2024-09-25,False
Visit doctor,Medium,Work,2023-01-21,2024-01-09,True
Go to bank,Medium,Work,2023-08-22,2024-07-20,True
Organize desk,Medium,Work,2023-02-08,2023-04-16,True
Work on project,Low,Personal,2023-12-19,2024-03-11,True
Join gym session,Low,Personal,2024-01-12,2024-04-27,False
Send emails,High,Personal,2024-04-28,2024-09-19,True
Go to school,Low,Work,2023-05-31,2023-09-14,True
Schedule car service,Medium,Personal,2023-02-15,2024-04-14,False
Schedule car service,Low,Personal,2023-04-26,2024-11-07,True
Renew library membership,High,Work,2023-03-12,2024-12-23,False
Book flight tickets,High,Work,2023-07-03,2024-06-29,False
Take groceries,Medium,Work,2023-09-08,2024-12-18,True
